gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CACNA1G,51.05890635,0.667244874,0.246243953,2.709690397,0.006734604,0.069636721
TNFRSF12A,4696.015523,-0.242482477,0.174539361,-1.389271025,0.164750351,0.425928297
DLX6,160.5665185,0.129743655,0.418424233,0.310076818,0.756502541,0.890748333
MAP3K9,1119.495659,0.023811808,0.124742741,0.190887324,0.848613872,0.935474292
RALA,4179.369179,-0.136708954,0.073274942,-1.86569856,0.062083551,0.251589419
BAIAP2L1,4875.904687,-0.299289307,0.117196663,-2.553735736,0.010657411,0.092259693
KDM7A,1904.705066,0.158101869,0.092894692,1.701947283,0.088765251,0.306121796
ETV1,1905.035052,0.177293465,0.176999565,1.001660456,0.316507611,0.595963542
AGK,1575.256603,-0.165463646,0.069900158,-2.367142662,0.017926021,0.126341047
ALDH3B1,5380.25587,-0.090698435,0.236677407,-0.383215432,0.701560037,0.862530687
TTC22,1193.026763,-0.178307488,0.145603062,-1.224613581,0.220720849,0.497241437
PHTF2,2060.440809,0.034185531,0.096425499,0.354527918,0.722943285,0.874401015
CCL26,65.66482866,-0.699005486,0.27758296,-2.518185866,0.011796105,0.097933984
FARP2,1800.492494,-0.034137327,0.08415203,-0.405662554,0.68499056,0.854430447
USH1C,112.9386866,-0.248330901,0.319000877,-0.778464635,0.436295147,0.696084045
GGCT,2665.651808,-0.171238621,0.107700027,-1.589958938,0.111844061,0.346081667
DBF4,926.2784121,-0.191357143,0.118436142,-1.615698884,0.106159432,0.337401646
TBXA2R,126.1359157,-0.149794451,0.125441717,-1.194135847,0.232424833,0.510358157
IFRD1,2005.678628,-0.19678017,0.116489894,-1.689246709,0.091172161,0.310782116
LGALS14,0.363834645,0.03976915,0.626088904,0.063519973,0.949352455,0.981100805
COX10,784.9467902,-0.081171295,0.070134459,-1.1573668,0.247122532,0.527210164
GTF2IRD1,1852.044386,-0.083298398,0.09387107,-0.887370282,0.374879578,0.646912107
PAF1,3612.011018,0.061238148,0.088719471,0.690244733,0.490040297,0.737790757
VPS41,3702.57488,-0.07549879,0.072421473,-1.042491789,0.29718373,0.578570951
ARHGAP44,934.4659549,0.562132316,0.17633843,3.187803795,0.001433578,0.026901706
ELAC2,3078.238872,-0.08440784,0.068261244,-1.236541202,0.21625746,0.492082844
SCIN,2296.029233,0.050450845,0.27294321,0.184840082,0.853354469,0.937831265
ARSD,5717.374232,0.038022917,0.148315159,0.256365681,0.797668485,0.912650431
PNPLA4,1120.400109,0.06243925,0.11825388,0.528010158,0.597492285,0.803995469
MYH13,6.565143078,-0.069359037,0.270480116,-0.256429338,0.797619336,0.912650431
ADIPOR2,5059.072904,-0.330523895,0.106611546,-3.100263584,0.001933485,0.032745372
CDKL3,38.70633795,0.080649779,0.097211305,0.829633741,0.406745894,0.67104243
UPP2,6.337539886,0.308221574,0.216617235,1.42288574,0.154769281,0.410437997
PRSS21,644.1682511,-0.663118894,0.351832277,-1.884758554,0.059462443,0.245550138
MARK4,2010.893306,0.000474876,0.084438405,0.005623935,0.995512773,0.99860475
PROM1,1520.575097,0.686833199,0.341058946,2.013825491,0.044027858,0.20896907
CCDC124,2386.374823,-0.143985001,0.085968531,-1.674857061,0.09396228,0.315478255
CEACAM21,125.3503484,0.300343969,0.184186978,1.630647143,0.102964796,0.332168
PAFAH1B1,6302.551335,-0.021879568,0.060665834,-0.360657175,0.718355743,0.872406972
NOS2,195.112718,1.123783158,0.25025352,4.490578823,7.10E-06,0.000762109
DNAH9,120.3794888,0.708714685,0.295113785,2.401496376,0.016328171,0.119499958
